%EXPOCODE  316N138_3     WHP-ID P6    DATE 050692
%Latitude    Longitude          Depth  Corr_Depth
%32 30.21 S  72 59.85 W  GPS    4640   4643
%STNNBR  12    CASTNO   1 NO. RECORDS= 2347     2
%INSTRUMENT NO. 10KN SAMPLING RATE  24.00 HZ    3
%  CTDPRS  CTDTMP  CTDSAL  CTDOXY  NUMBER  QUALT1
%    DBAR  ITS-90  PSS-78 UMOL/KG    OBS.       *
% ******* ******* ******* *******               *
% Los valores entre 1 y 7 dbar fueron replicados de los de 9 m para este ejercicio.

     1.0 16.9528 34.3974   240.3     434    2223
	 3.0 16.9528 34.3974   240.3     434    2223
     5.0 16.9528 34.3974   240.3     434    2223
     7.0 16.9528 34.3974   240.3     434    2223
	 9.0 16.9528 34.3974   240.3     434    2223
    11.0 16.9496 34.3950   230.2     505    2223
    13.0 16.9490 34.3949   229.1      58    2223
    15.0 16.9473 34.3947   229.1      36    2223
    17.0 16.9473 34.3949   229.3      35    2223
    19.0 16.9490 34.3947   229.0      47    2223
    21.0 16.9501 34.3955   229.1      27    2223
    23.0 16.9582 34.3979   231.2      24    2223
    25.0 16.9867 34.4174   234.3      37    2223
    27.0 16.9941 34.4214   228.0      39    2223
    29.0 17.0151 34.4343   228.5      17    2223
    31.0 17.0168 34.4355   232.3      31    2223
    33.0 17.0222 34.4375   228.5      49    2223
    35.0 17.0309 34.4403   227.5      32    2223
    37.0 17.0319 34.4414   231.9      34    2223
    39.0 17.0275 34.4405   235.3      31    2223
    41.0 17.0234 34.4399   232.8      34    2223
    43.0 17.0067 34.4376   232.1      21    2223
    45.0 16.9926 34.4358   234.4      30    2223
    47.0 16.9798 34.4339   231.4      58    2223
    49.0 16.9025 34.4263   227.8      35    2223
    51.0 16.5893 34.4330   228.6      27    2223
    53.0 15.9293 34.3376   227.2      39    2223
    55.0 15.1868 34.2741   223.0      37    2223
    57.0 14.3620 34.2152   215.7      50    2223
    59.0 13.9511 34.2016   207.4      37    2222
    61.0 13.6602 34.1983   207.2      23    2222
    63.0 13.5014 34.1856   209.8      32    2222
    65.0 13.3122 34.1758   208.2      42    2222
    67.0 13.1477 34.1609   205.8      56    2222
    69.0 12.9091 34.1615   202.5      41    2222
    71.0 12.6696 34.1780   200.2      26    2222
    73.0 12.5738 34.1554   195.1      68    2222
    75.0 12.3873 34.1619   185.0      28    2222
    77.0 12.2541 34.1831   183.6      13    2222
    79.0 12.4096 34.1515   185.8      84    2222
    81.0 12.0685 34.2476   182.6      11    2222
    83.0 12.0820 34.1750   183.7      19    2222
    85.0 12.1287 34.1598   182.6      64    2222
    87.0 11.9805 34.1948   178.0      26    2222
    89.0 11.7708 34.1961   175.5      28    2222
    91.0 11.6372 34.1991   169.9      19    2222
    93.0 11.6822 34.1834   165.6      67    2222
    95.0 11.5861 34.2450   158.2      26    2222
    97.0 11.5140 34.2273   157.6      26    2222
    99.0 11.4424 34.2309   154.8      36    2222
   101.0 11.3620 34.2275   149.4      44    2222
   103.0 11.2760 34.2217   146.4      37    2222
   105.0 11.2995 34.2369   144.1      23    2222
   107.0 11.2463 34.2526   143.6      33    2222
   109.0 11.2179 34.2663   138.7      35    2222
   111.0 11.2059 34.2838   135.0      34    2222
   113.0 11.1361 34.2902   128.5      43    2222
   115.0 11.1208 34.3040   126.1      34    2222
   117.0 11.1055 34.3083   122.2      52    2222
   119.0 11.0398 34.3201   121.5      17    2222
   121.0 11.0282 34.3271   120.3      19    2222
   123.0 11.0359 34.3399   115.8      43    2222
   125.0 11.0288 34.3507   110.9      57    2222
   127.0 10.9989 34.3621   108.0      23    2222
   129.0 11.0115 34.3666   103.2      17    2222
   131.0 11.0282 34.3783    98.0      62    2222
   133.0 11.0638 34.4134    94.3      22    2222
   135.0 10.9331 34.4365    91.7      17    2222
   137.0 10.9329 34.4091    88.5      57    2222
   139.0 10.7839 34.3960    91.2      29    2222
   141.0 10.6461 34.3961    94.9      15    2222
   143.0 10.6060 34.3662    99.4      33    2222
   145.0 10.5849 34.3662   100.2      49    2222
   147.0 10.6621 34.3948    97.1      34    2222
   149.0 10.6688 34.4162    92.2      26    2222
   151.0 10.6451 34.4156    84.4      48    2222
   153.0 10.5579 34.4155    82.3      18    2222
   155.0 10.4322 34.4207    83.6      20    2222
   157.0 10.4621 34.4010    85.4      78    2222
   159.0 10.3311 34.4171    85.7      24    2222
   161.0 10.3480 34.4149    84.8      20    2222
   163.0 10.3503 34.4234    81.2      48    2222
   165.0 10.3376 34.4286    76.4      30    2222
   167.0 10.2919 34.4355    75.1      23    2222
   169.0 10.2861 34.4300    72.8      59    2222
   171.0 10.2275 34.4361    73.7      31    2222
   173.0 10.1313 34.4396    75.4      28    2222
   175.0 10.0299 34.4248    77.4      24    2222
   177.0  9.9863 34.4193    79.9      62    2222
   179.0  9.9843 34.4408    79.3      35    2222
   181.0 10.0298 34.4553    75.6      22    2222
   183.0 10.0395 34.4683    68.7      34    2222
   185.0 10.0207 34.4678    64.3      38    2222
   187.0 10.0345 34.4745    62.4      29    2222
   189.0 10.0609 34.4909    61.4      39    2222
   191.0 10.0753 34.5038    56.9      62    2222
   193.0 10.0778 34.5163    54.4      33    2222
   195.0 10.0279 34.5157    53.0      24    2222
   197.0 10.0170 34.5142    51.8      26    2222
   199.0  9.9733 34.5103    52.0      48    2222
   201.0  9.9535 34.5079    52.8      67    2222
   203.0  9.9242 34.5096    51.2      28    2222
   205.0  9.9518 34.5181    50.2      31    2222
   207.0  9.9725 34.5306    49.9      44    2222
   209.0  9.8782 34.5297    46.2      39    2222
   211.0  9.8574 34.5234    43.8      25    2222
   213.0  9.8842 34.5316    42.8      61    2222
   215.0  9.9484 34.5539    40.3      22    2222
   217.0  9.9521 34.5609    38.3      22    2222
   219.0  9.9216 34.5581    34.8      44    2222
   221.0  9.9224 34.5641    29.7      57    2222
   223.0  9.9502 34.5771    28.2      27    2222
   225.0  9.9305 34.5799    28.1      14    2222
   227.0  9.9369 34.5735    27.7      60    2222
   229.0  9.8495 34.5744    27.4      23    2222
   231.0  9.8068 34.5648    28.3      23    2222
   233.0  9.8184 34.5644    30.4      55    2222
   235.0  9.7570 34.5639    31.1      30    2222
   237.0  9.7107 34.5592    31.4      30    2222
   239.0  9.7088 34.5533    32.3      69    2222
   241.0  9.5919 34.5521    32.9      22    2222
   243.0  9.5924 34.5465    33.2      20    2222
   245.0  9.6006 34.5556    33.6      47    2222
   247.0  9.5493 34.5532    33.5      44    2222
   249.0  9.4598 34.5418    33.2      38    2222
   251.0  9.4109 34.5363    33.6      43    2222
   253.0  9.4329 34.5430    34.9      32    2222
   255.0  9.4174 34.5451    34.9      27    2222
   257.0  9.3958 34.5419    33.8      52    2222
   259.0  9.3427 34.5388    32.8      44    2222
   261.0  9.2728 34.5309    33.6      41    2222
   263.0  9.2496 34.5323    35.4      33    2222
   265.0  9.2238 34.5293    35.8      31    2222
   267.0  9.2206 34.5356    36.2      40    2222
   269.0  9.1557 34.5306    35.8      34    2222
   271.0  9.1061 34.5250    35.8      38    2222
   273.0  9.0904 34.5228    36.4      44    2222
   275.0  9.0634 34.5240    36.9      30    2222
   277.0  9.0297 34.5217    37.2      22    2222
   279.0  9.0101 34.5213    37.3      34    2222
   281.0  9.0051 34.5189    37.4      49    2222
   283.0  8.9419 34.5233    37.3      18    2222
   285.0  8.9272 34.5165    37.5      41    2222
   287.0  8.9158 34.5219    38.9      41    2222
   289.0  8.8601 34.5134    39.6      25    2222
   291.0  8.7879 34.5153    40.3      19    2222
   293.0  8.7831 34.5009    42.7      65    2222
   295.0  8.7077 34.4989    44.5      38    2222
   297.0  8.6624 34.5008    45.3      30    2222
   299.0  8.6533 34.4980    45.4      33    2222
   301.0  8.6414 34.5006    45.1      32    2222
   303.0  8.6168 34.5042    44.5      27    2222
   305.0  8.5896 34.4978    43.9      56    2222
   307.0  8.5493 34.4967    44.0      38    2222
   309.0  8.5401 34.4965    44.5      33    2222
   311.0  8.5215 34.4965    44.9      26    2222
   313.0  8.5196 34.4949    45.2      52    2222
   315.0  8.4831 34.4948    45.8      37    2222
   317.0  8.4330 34.4902    45.9      31    2222
   319.0  8.4230 34.4905    47.0      44    2222
   321.0  8.3937 34.4895    47.8      35    2222
   323.0  8.3823 34.4874    48.3      35    2222
   325.0  8.3681 34.4867    48.7      37    2222
   327.0  8.3066 34.4837    49.3      32    2222
   329.0  8.2924 34.4824    49.5      24    2222
   331.0  8.2920 34.4830    50.6      73    2222
   333.0  8.2573 34.4835    50.9      22    2222
   335.0  8.2436 34.4815    51.1      35    2222
   337.0  8.2126 34.4771    52.1      33    2222
   339.0  8.1722 34.4771    52.6      41    2222
   341.0  8.1376 34.4772    53.7      36    2222
   343.0  8.0988 34.4732    54.2      33    2222
   345.0  8.0776 34.4725    55.2      30    2222
   347.0  8.0515 34.4692    56.6      40    2222
   349.0  8.0308 34.4686    57.3      27    2222
   351.0  8.0233 34.4675    57.8      33    2222
   353.0  7.9979 34.4673    58.5      34    2222
   355.0  7.9565 34.4627    59.2      47    2222
   357.0  7.9430 34.4627    59.8      32    2222
   359.0  7.9195 34.4607    61.1      53    2222
   361.0  7.8960 34.4599    61.8      23    2222
   363.0  7.8957 34.4594    61.9      22    2222
   365.0  7.8934 34.4589    62.6      46    2222
   367.0  7.8729 34.4601    63.1      45    2222
   369.0  7.8431 34.4583    63.5      31    2222
   371.0  7.8251 34.4584    63.9      22    2222
   373.0  7.8163 34.4517    64.9      45    2222
   375.0  7.7701 34.4567    65.7      29    2222
   377.0  7.7426 34.4544    65.8      23    2222
   379.0  7.7409 34.4500    67.3      83    2222
   381.0  7.6815 34.4505    68.8      15    2262
   383.0  7.6338 34.4508    69.2      22    2222
   385.0  7.6005 34.4411    70.9      29    2222
   387.0  7.5963 34.4481    74.4      55    2222
   389.0  7.4980 34.4412    76.4      29    2222
   391.0  7.4670 34.4319    78.4      42    2222
   393.0  7.4303 34.4333    81.2      23    2222
   395.0  7.4216 34.4296    83.9      54    2222
   397.0  7.3542 34.4276    85.7      30    2222
   399.0  7.3385 34.4233    85.8      19    2222
   401.0  7.3420 34.4233    87.9      62    2222
   403.0  7.2978 34.4253    89.0      22    2222
   405.0  7.2830 34.4219    88.9      20    2222
   407.0  7.2768 34.4212    90.0      50    2222
   409.0  7.2486 34.4189    91.5      49    2222
   411.0  7.2252 34.4181    92.6      24    2222
   413.0  7.1917 34.4197    93.2      20    2222
   415.0  7.1937 34.4131    94.9      60    2222
   417.0  7.1398 34.4151    96.0      27    2222
   419.0  7.1154 34.4106    96.5      21    2222
   421.0  7.0987 34.4088    98.0      47    2222
   423.0  7.0922 34.4063   100.6      53    2222
   425.0  7.0651 34.4062   101.1      24    2222
   427.0  7.0537 34.4050   101.7      23    2222
   429.0  7.0498 34.4071   103.8      46    2222
   431.0  6.9998 34.4039   103.8      22    2222
   433.0  7.0038 34.3987   104.5      67    2222
   435.0  6.9643 34.4054   107.9      25    2222
   437.0  6.8865 34.3997   108.2      24    2222
   439.0  6.8657 34.3957   110.8      34    2222
   441.0  6.8228 34.3897   114.4      50    2222
   443.0  6.8307 34.3864   117.8      51    2222
   445.0  6.7800 34.3871   118.3      15    2222
   447.0  6.7457 34.3860   118.4      22    2222
   449.0  6.7549 34.3827   122.1      64    2222
   451.0  6.6997 34.3816   123.5      25    2222
   453.0  6.6822 34.3786   124.7      39    2222
   455.0  6.6718 34.3755   127.4      41    2222
   457.0  6.6178 34.3739   128.3      27    2222
   459.0  6.5991 34.3711   129.2      29    2222
   461.0  6.5717 34.3696   131.5      46    2222
   463.0  6.5831 34.3666   134.5      71    2222
   465.0  6.5016 34.3707   135.6      22    2222
   467.0  6.4834 34.3647   136.4      24    2222
   469.0  6.4683 34.3627   138.8      37    2222
   471.0  6.4508 34.3614   140.9      28    2222
   473.0  6.4339 34.3592   142.5      47    2222
   475.0  6.4342 34.3582   144.0      65    2222
   477.0  6.3882 34.3635   145.4      17    2222
   479.0  6.3612 34.3564   145.2      19    2222
   481.0  6.3694 34.3520   147.1      59    2222
   483.0  6.3445 34.3535   149.6      27    2222
   485.0  6.3187 34.3505   150.3      26    2222
   487.0  6.3018 34.3495   151.7      38    2222
   489.0  6.2714 34.3504   154.4      29    2222
   491.0  6.2306 34.3444   155.7      29    2222
   493.0  6.2040 34.3404   158.6      43    2222
   495.0  6.1885 34.3384   160.5      36    2222
   497.0  6.1828 34.3373   162.0      37    2222
   499.0  6.1751 34.3371   162.7      29    2222
   501.0  6.1673 34.3354   163.9      50    2222
   503.0  6.1270 34.3341   164.7      32    2222
   505.0  6.0980 34.3318   166.3      30    2222
   507.0  6.0627 34.3319   169.4      23    2222
   509.0  6.0507 34.3288   171.5      28    2222
   511.0  6.0257 34.3276   173.0      26    2222
   513.0  6.0012 34.3273   173.4      21    2222
   515.0  5.9816 34.3242   174.1      25    2222
   517.0  5.9624 34.3224   175.2      32    2222
   519.0  5.9427 34.3216   176.3      26    2222
   521.0  5.9299 34.3191   177.6      39    2222
   523.0  5.9069 34.3194   178.9      31    2222
   525.0  5.8806 34.3187   179.3      17    2222
   527.0  5.8655 34.3161   179.6      19    2222
   529.0  5.8563 34.3157   180.7      24    2222
   531.0  5.8468 34.3144   181.8      35    2222
   533.0  5.8392 34.3143   182.1      33    2222
   535.0  5.8301 34.3152   181.9      22    2222
   537.0  5.8206 34.3148   181.3      26    2222
   539.0  5.8198 34.3163   181.3      21    2222
   541.0  5.8087 34.3162   180.8      30    2222
   543.0  5.8027 34.3162   180.0      46    2222
   545.0  5.7892 34.3144   179.9      21    2222
   547.0  5.7666 34.3135   180.3      22    2222
   549.0  5.7470 34.3122   181.4      23    2222
   551.0  5.7343 34.3103   183.3      29    2222
   553.0  5.7281 34.3099   184.7      22    2222
   555.0  5.7119 34.3096   185.1      21    2222
   557.0  5.6950 34.3080   185.3      36    2222
   559.0  5.6779 34.3083   186.0      30    2222
   561.0  5.6624 34.3080   186.3      20    2222
   563.0  5.6535 34.3067   186.5      18    2222
   565.0  5.6416 34.3057   186.2      25    2222
   567.0  5.6256 34.3069   186.9      35    2222
   569.0  5.6050 34.3072   187.2      16    2222
   571.0  5.6028 34.3040   187.0      22    2222
   573.0  5.5886 34.3039   187.4      27    2222
   575.0  5.5715 34.3037   187.9      33    2222
   577.0  5.5541 34.3031   188.2      22    2222
   579.0  5.5486 34.3015   188.2      22    2222
   581.0  5.5344 34.3039   188.5      22    2222
   583.0  5.5240 34.3020   188.8      33    2222
   585.0  5.5128 34.3017   188.4      26    2222
   587.0  5.4947 34.3030   188.0      25    2222
   589.0  5.4773 34.3014   187.6      32    2222
   591.0  5.4701 34.3009   187.4      27    2222
   593.0  5.4510 34.3040   187.4      12    2222
   595.0  5.4482 34.2998   187.5      20    2222
   597.0  5.4375 34.3008   187.9      22    2222
   599.0  5.4285 34.3006   188.1      19    2222
   601.0  5.4188 34.3004   187.8      40    2222
   603.0  5.4094 34.2993   187.3      41    2222
   605.0  5.3937 34.3003   186.8      33    2222
   607.0  5.3826 34.3021   186.6      17    2222
   609.0  5.3695 34.3001   186.2      24    2222
   611.0  5.3607 34.3000   186.1      23    2222
   613.0  5.3526 34.3009   186.0      17    2222
   615.0  5.3432 34.3011   186.2      27    2222
   617.0  5.3320 34.3005   185.9      40    2222
   619.0  5.3297 34.3000   185.2      23    2222
   621.0  5.3227 34.3005   184.7      46    2222
   623.0  5.3152 34.3006   184.2      21    2222
   625.0  5.3050 34.3012   184.1      14    2222
   627.0  5.2923 34.3028   184.1      17    2222
   629.0  5.2859 34.3012   184.4      29    2222
   631.0  5.2829 34.3009   183.9      32    2222
   633.0  5.2744 34.3015   183.5      24    2222
   635.0  5.2650 34.3016   183.0      28    2222
   637.0  5.2523 34.3024   182.6      22    2222
   639.0  5.2463 34.3027   182.1      21    2222
   641.0  5.2395 34.3032   182.0      16    2222
   643.0  5.2331 34.3033   181.1      25    2222
   645.0  5.2150 34.3055   180.6      31    2222
   647.0  5.2012 34.3048   179.5      40    2222
   649.0  5.1895 34.3066   178.6      24    2222
   651.0  5.1755 34.3095   177.3      11    2222
   653.0  5.1594 34.3071   177.0      22    2222
   655.0  5.1426 34.3072   177.3      25    2222
   657.0  5.1285 34.3089   177.2      15    2222
   659.0  5.1233 34.3071   176.5      29    2222
   661.0  5.1164 34.3075   176.2      25    2222
   663.0  5.1115 34.3073   175.9      39    2222
   665.0  5.1076 34.3084   175.5      20    2222
   667.0  5.1029 34.3088   175.2      17    2222
   669.0  5.0954 34.3088   175.1      26    2222
   671.0  5.0889 34.3083   175.2      30    2222
   673.0  5.0854 34.3088   174.9      24    2222
   675.0  5.0803 34.3086   174.7      26    2222
   677.0  5.0711 34.3097   174.5      26    2222
   679.0  5.0625 34.3096   174.4      28    2222
   681.0  5.0488 34.3121   174.0      25    2222
   683.0  5.0391 34.3101   173.6      30    2222
   685.0  5.0290 34.3115   173.3      26    2222
   687.0  5.0200 34.3111   172.8      42    2222
   689.0  5.0135 34.3127   172.4      26    2222
   691.0  5.0082 34.3124   171.8      19    2222
   693.0  4.9964 34.3141   171.1      20    2222
   695.0  4.9881 34.3145   171.1      21    2222
   697.0  4.9847 34.3143   170.1      48    2222
   699.0  4.9685 34.3162   169.1      19    2222
   701.0  4.9578 34.3154   168.8      25    2222
